_id,X,Y,FID,Latitude,Longitude
125,-8901158.47,4932719.8835,125,-79.960467,40.457982
126,-8900854.0112,4932826.3928,126,-79.957732,40.45871
127,-8899618.2536,4929404.0414,127,-79.946631,40.435314
128,-8899696.5112,4929366.4542,128,-79.947334,40.435057
129,-8899631.5006,4930751.4245,129,-79.94675,40.444526
130,-8906210.0372,4929865.6295,130,-80.005846,40.43847
131,-8905090.6084,4921551.5876,131,-79.99579,40.381602
132,-8905770.9931,4929633.3701,132,-80.001902,40.436882
133,-8906232.5237,4930595.3514,133,-80.006048,40.443459
134,-8906605.8893,4930719.5368,134,-80.009402,40.444308
135,-8901757.1463,4932395.9735,135,-79.965845,40.455768
136,-8909579.5669,4931604.3847,136,-80.036115,40.450357
137,-8909342.345,4929790.0129,137,-80.033984,40.437953
138,-8898044.4186,4922452.7108,138,-79.932493,40.387768
139,-8900581.0558,4928288.6263,139,-79.95528,40.427687
140,-8905458.1854,4924051.8743,140,-79.999092,40.398709
141,-8910104.7722,4935357.9382,141,-80.040833,40.476011
142,-8908431.0837,4936197.9801,142,-80.025798,40.481751
143,-8906979.4775,4931982.3966,143,-80.012758,40.452941
